PayloadMass,Orbit,LaunchSite,Flights,GridFins,Reused,Legs,LandingPad,ReusedCount,landing_location,year,month,Outcome
6761.0,2.0,1.0,1,False,False,False,2.0,0,0.0,2017,7,False
2910.0,4.0,1.0,1,True,False,True,0.0,1,2.0,2017,8,True
475.0,9.0,2.0,1,True,False,True,5.0,1,0.0,2017,8,True
4990.0,5.0,1.0,1,True,False,True,0.0,1,2.0,2017,9,True
9600.0,7.0,2.0,1,True,False,True,5.0,1,0.0,2017,10,True
5200.0,2.0,1.0,2,True,True,True,2.0,1,0.0,2017,10,True
3700.0,2.0,1.0,1,True,False,True,2.0,0,0.0,2017,10,True
2205.0,4.0,0.0,2,True,True,True,0.0,1,2.0,2017,12,True
9600.0,7.0,2.0,2,True,True,False,2.0,1,1.0,2017,12,True
13260.0,5.0,0.0,1,True,False,True,0.0,1,2.0,2018,1,True
4230.0,2.0,0.0,2,True,True,True,2.0,1,1.0,2018,1,True
6092.0,2.0,0.0,1,True,False,True,2.0,0,0.0,2018,3,False
9600.0,7.0,2.0,2,True,True,True,2.0,1,0.0,2018,3,False
2760.0,4.0,0.0,2,True,True,True,2.0,1,0.0,2018,4,False
350.0,3.0,0.0,1,True,False,True,2.0,1,0.0,2018,4,True
3750.0,2.0,1.0,1,True,False,True,2.0,3,0.0,2018,5,True
5383.85,2.0,0.0,2,False,True,False,2.0,1,0.0,2018,6,False
2410.0,4.0,0.0,2,False,True,False,2.0,1,0.0,2018,6,False
7076.0,2.0,0.0,1,True,False,True,2.0,2,0.0,2018,7,True
9600.0,7.0,2.0,1,True,False,True,5.0,4,0.0,2018,7,True
5800.0,2.0,0.0,2,True,True,True,2.0,3,0.0,2018,8,True
7060.0,2.0,0.0,1,True,False,True,2.0,9,0.0,2018,9,True
2800.0,9.0,2.0,2,True,True,True,1.0,4,2.0,2018,10,True
3000.0,2.0,1.0,2,True,True,True,2.0,2,0.0,2018,11,True
4000.0,9.0,2.0,3,True,True,True,5.0,3,0.0,2018,12,True
2573.0,4.0,0.0,1,True,False,True,0.0,0,2.0,2018,12,False
4400.0,6.0,0.0,1,False,False,False,2.0,0,0.0,2018,12,False
9600.0,7.0,2.0,2,True,True,True,5.0,9,0.0,2019,1,True
